ID	adj.P.Val	P.Value	t	B	logFC
BTG2	3.72706006087073e-27	7.68141110679905e-30	-14.2431740312913	57.1977934301106	-1.48432682424171
HCLS1	5.21942315292452e-27	1.08950596914083e-29	-14.1863850821254	56.8633891509453	-1.09010281980208
F13A1	8.00328759415823e-27	1.73405269439564e-29	-14.1109242475783	56.42393813337	-1.58086337519636
IFITM3	9.66446008698382e-27	2.17058370077056e-29	-14.0744862433388	56.1368180544445	-1.12275332865833
CHST7	2.15272223099998e-26	5.11929928631819e-29	-13.9353628972608	55.3256189287509	-1.04585724640163
PRICKLE1	2.84598714015674e-26	7.06872037136643e-29	13.8830919000521	55.0120787390781	1.05531437012117
IRX2	3.803169881129e-26	9.74759494978367e-29	13.8310593087762	54.7036966649877	1.00081598994036
C1ORF162	6.60913723959544e-26	1.78125032616058e-28	-13.733502581545	54.1091854200587	-1.02265294110132
MT2A	7.699251721339e-26	2.19711247134337e-28	-13.6995674258964	53.8706804076337	-1.67812643482406
MGC42367	1.27990434547749e-25	3.720062305198e-28	-13.6144430685401	53.3927457196825	-1.00435265764349
TKT	1.40644899650717e-25	4.16219118556263e-28	-13.5962969610249	53.279260977603	-1.01755699532039
RGS4	1.98379257481592e-25	5.97559460785855e-28	13.537878430916	52.9235191406616	1.2132472421535
C5ORF23	2.75669593853112e-25	8.37657963671402e-28	13.4833412630682	52.5934902151037	1.25721884112325
C1QC	2.85552357524281e-25	8.7523314148963e-28	-13.4762575095953	52.5391196188974	-1.31239201251898
LAPTM5	3.15974743407512e-25	9.85177290125414e-28	-13.4571567029548	52.4357554341117	-1.12615447905609
PLCE1	3.24281151390829e-25	1.02687967132069e-27	13.4504651760466	52.3948538925362	1.04233407565185
C1QB	6.67640010046029e-25	2.27568465084653e-27	-13.322086570623	51.594830438661	-1.45492170458034
HAVCR2	7.45979040968832e-25	2.56241809771041e-27	-13.3029508397561	51.4875078020329	-1.02718160350031
CD14	8.985195290246e-25	3.15761500185678e-27	-13.2692766056244	51.2546397236162	-1.33756666153015
LOC653879	2.17557147541186e-24	7.99039357084627e-27	-13.119673265326	50.3665371196495	-1.14999604241485
ALOX5AP	2.37753512773582e-24	8.92062538018515e-27	-13.1019361469253	50.249954462146	-1.3576223770638
LRRC49	2.42281071906374e-24	9.15451917841028e-27	13.0977678451956	50.2053735898284	1.11448017967657
SRGN	2.59673268729862e-24	9.95867312270886e-27	-13.0842084489406	50.1330947687225	-1.1809503217596
M6PRBP1	2.66317953260917e-24	1.04849587897999e-26	-13.0759154254877	50.0762307066962	-1.08503340441349
RASL11B	2.80494310111771e-24	1.11171977267784e-26	13.0664869393477	50.0279592942501	1.75641391393497
CENPA	3.64327329997494e-24	1.47286586401777e-26	13.0211953955142	49.7288991012985	1.690227270144
NFKBIA	4.04501249028936e-24	1.64596502537801e-26	-13.0033075776241	49.6264017231329	-1.01001097773209
COL21A1	1.60067661742039e-23	7.13602967775911e-26	12.7673036809664	48.1924225909286	1.07342235739637
METTL7B	1.86997459608593e-23	8.44912688079834e-26	-12.7401412346093	48.0278239509407	-1.3393484234976
OSR1	4.379213770786e-23	2.07123411977671e-25	-12.595982530551	47.1422899656508	-1.05925197264872
RARRES1	6.87479689395535e-23	3.36055970348713e-25	-12.5181968358496	46.6522156338784	-1.33571078418838
SGK	7.90735503888326e-23	3.92797851109774e-25	-12.4931233348238	46.5112389752447	-1.32980301207986
GATM	1.05221407738802e-22	5.42149091292777e-25	12.4413387427075	46.1964744766485	1.17783276632141
SFRP1	1.76850482254722e-22	9.34579518336004e-25	12.3538376876495	45.6608795803669	1.74698934358873
PLTP	4.97930383234108e-22	2.73660412494569e-24	-12.1812198066354	44.6027871749615	-1.02804867617356
SLC7A1	6.29622425974214e-22	3.49365083376275e-24	-12.1419803441056	44.3618184273221	-1.09506656619315
C1QTNF1	6.68058406320757e-22	3.74222856153888e-24	-12.1309369889672	44.2932567354581	-1.28002864919794
ELL2	1.08576162405229e-21	6.34070964510885e-24	-12.0462124721177	43.7668574400778	-1.12302696479929
DUSP1	1.15043113266427e-21	6.77868579464494e-24	-12.0354802182177	43.7015392404223	-1.48136959054261
