ID	adj.P.Val	P.Value	t	B	logFC	AveExpr
ILMN_1697268	0.872573867248726	0.506024047639977	0.680099933118288	-5.92168281833082	0.204821412434532	9.83111024422731
ILMN_1766163	0.825330602718433	0.397988986094975	-0.868102029480503	-5.92172514621118	-0.13426715991546	12.171050122809
ILMN_1706149	0.938805451595652	0.741763942882784	0.33520309095283	-5.9217948884779	0.0772896693099367	7.75843690952055
ILMN_1661486	0.949042453511711	0.777012937819923	0.287970535429693	-5.92180981136484	0.0584845215015211	7.62587123485848
ILMN_1667485	0.965375626859201	0.837532606291134	0.208368781770652	-5.92191369886094	0.10230361991921	7.43784803173127
ILMN_1745421	0.978732043036097	0.89697675144558	0.131524154553668	-5.92193274994048	0.0374509843650888	7.31629521046542
ILMN_1803197	0.879133706736716	0.52877965521717	0.643666959135943	-5.92206821278185	0.123016992948168	9.44331601767777
ILMN_1754220	0.891462991247371	0.57916758272205	0.565948833623954	-5.92207812721962	0.135675395137117	8.83762484505749
ILMN_1803317	0.962135178052046	0.825542733898249	0.224011808784903	-5.92212782243765	0.0581700381721806	7.49111282463355
ILMN_1727171	0.857016351747287	0.469658797286839	0.740351501830898	-5.92214079350744	0.145632855706143	10.4954068451162
ILMN_1712307	0.959158616256305	0.817310175250241	0.234786165667948	-5.9221737012609	0.0783762840080211	7.51827992536706
ILMN_1797893	0.901328277914716	0.615078456233833	-0.512681521949557	-5.92233286876797	-0.120551417873653	8.437815858622
ILMN_1743663	0.978732043036097	0.89865888979214	-0.12936379860032	-5.92241401770687	-0.0418925492640803	7.29454044464801
ILMN_1669032	0.859233281398889	0.47630485532728	-0.729138260685083	-5.92271017181545	-0.180956714091895	10.3218556752869
ILMN_1748883	0.989975405566601	0.949467836825441	-0.0643619470767535	-5.92307405624277	-0.0171491416412506	7.26927540250273
ILMN_1803110	0.875363551713764	0.517839580280325	-0.661069352800948	-5.92318991725766	-0.152541584263833	9.5670284636298
ILMN_1731175	0.997470875666613	0.98797321165375	-0.015307729026442	-5.92323130225666	-0.00315301010779212	7.25934294695286
