ID	miRNA_ID	adj.P.Val	P.Value	t	B	logFC	AveExpr
ILMN_3167529	hsa-miR-183	0.849343236568757	0.608082328310866	-0.514084696554413	-6.53359083170217	-0.0815471313991027	7.32535101994401
ILMN_3168604	hsa-miR-1201	0.67478710043829	0.335920215938712	-0.965903805948975	-6.53430573817759	-0.0457593622812702	13.3942856360802
ILMN_3168434	hsa-miR-1468	0.99564876870539	0.98521402178446	0.0185689097126379	-6.53501713122736	0.00291908210770409	8.1814980503858
ILMN_3167721	hsa-miR-425	0.8409590451349	0.585433587208312	-0.546855367402154	-6.53758380668446	-0.0372032123302066	12.7419172209243
ILMN_3168423	hsa-miR-558	0.858343721571524	0.628895802915233	0.484452290319251	-6.53861036353664	0.0724515600521114	7.48696701747487
ILMN_3167959	hsa-miR-765	0.936900895475531	0.834079032408272	-0.209902070098174	-6.53889435513967	-0.0136144082341456	8.03346115911372
ILMN_3167666	hsa-miR-220a	0.890332936537135	0.705471269935325	0.37879317257589	-6.54105813586675	0.0202136356445877	7.72001209411062
ILMN_3168917		0.722729886605284	0.400981758784082	0.842685616197923	-6.5419421188557	0.035601741872334	13.2462824202143
ILMN_3168671	hsa-miR-548o	0.930017918213752	0.82442636418075	0.222312309598006	-6.54219940553365	0.0296707972490982	8.02728061952996
ILMN_3167412	hsa-miR-628-3p	0.925916822993954	0.803779257841726	0.248976741096185	-6.54349044636218	0.0190051617011644	12.5147558370065
ILMN_3168855	hsa-miR-939	0.829364495729584	0.557709504094389	0.587794494633447	-6.54362939117814	0.0243932459292857	12.8541663815169
ILMN_3167970	hsa-let-7b	0.500209666742893	0.164260991000286	-1.39893020718184	-6.54407413602166	-0.0286387196920703	14.2522487625071
ILMN_3168328	hsa-miR-506	0.926858075494566	0.811070126851125	-0.239541650125898	-6.54674886231299	-0.0136502300689729	7.93895883758288
ILMN_3167526		0.722729886605284	0.401446469765031	0.841852089241774	-6.54727305666616	0.0395197476076508	6.51365002061471
ILMN_3167865	hsa-miR-106b	0.728534912913814	0.407852296225113	0.830421397988679	-6.54756167367258	0.048949945892991	13.2502322029957
ILMN_3167401		0.992177284492781	0.96791443386763	-0.0403031860038739	-6.54995864448757	-0.00264786690932794	8.10053995901875
ILMN_3167553	hsa-miR-491-5p	0.874681174374898	0.669871186934651	-0.427313973209272	-6.55185099827156	-0.0244511957592657	12.6529475993177
ILMN_3168252	hsa-miR-516b	0.894175210981483	0.713828410299793	-0.367535996302132	-6.55245947373972	-0.0606024676144665	7.62887156109031
ILMN_3168254		0.954092155021326	0.870280512162215	-0.163631166894297	-6.552840914253	-0.00834832095574001	7.9975537537251
ILMN_3168473	hsa-miR-412	0.90632900203041	0.747582011640928	-0.322526424739393	-6.5535576741195	-0.020260347891349	7.73525996877408
ILMN_3167408	hsa-miR-563	0.994264188084983	0.979051352562226	0.0263098075517114	-6.55503296695954	0.000900416133241322	8.07728545995817
ILMN_3168630	hsa-miR-628-5p	0.990535279364463	0.957549858709575	-0.0533332181317048	-6.55510867672721	-0.00308972346401504	12.4537135018833
ILMN_3167678		0.712678447590291	0.392751179414387	-0.857546973358166	-6.55696484869288	-0.0263865466887792	6.41207383853242
ILMN_3168404	hsa-miR-337:9.1	0.83006296989705	0.564132543203282	0.578223857091784	-6.55811385742212	0.041357722604781	7.07069678956313
ILMN_3166972		0.912525727669708	0.76035965042302	0.305662881450455	-6.56030362756484	0.0295835454705475	7.76277648969076
ILMN_3167202		0.988947172039327	0.948352833973084	0.0649030177057986	-6.56199285734827	0.00497596344779971	8.02800323687092
ILMN_3168232		0.859132711577482	0.64279053276149	0.464907339782111	-6.56380998519769	0.0223884304051172	7.35497195317763
ILMN_3166964		0.813912611444127	0.525374479990763	-0.636833770067515	-6.5655638565115	-0.0303302338042748	6.84453247435272
ILMN_3167014	hsa-miR-518a-3p	0.859132711577482	0.634575110454472	0.476441438018231	-6.56655193405224	0.0185090421422203	12.7681270311963
ILMN_3168392		0.800589263670951	0.497723917059948	-0.680020499999614	-6.56788100183949	-0.0611454942707619	6.72464726287762
ILMN_3168381		0.909477924938857	0.752385563889113	0.316176261312873	-6.57264988995214	0.0211049093522089	7.65735368341718
ILMN_3167858		0.993765770541165	0.970331992545871	-0.0372649775019956	-6.57267352188527	-0.0091881652857948	7.95794932350102
ILMN_3168860	hsa-miR-541	0.925916822993954	0.808528309088098	0.242828526939097	-6.58159353525882	0.0119906141252235	7.72375799277224
ILMN_3168241	hsa-miR-1185	0.830413047460222	0.567146727610387	0.573750918847423	-6.58429034607999	0.11232122749607	7.01642318445243
ILMN_3168725	hsa-miR-1269	0.886201824021844	0.694226785363237	0.394016563042788	-6.58472150004539	0.0291085404276403	7.41668257802518
ILMN_3168687	hsa-miR-146a*	0.829364495729584	0.556442157378381	0.589689283556372	-6.58664455562998	0.0297863883104137	6.91352970816262
ILMN_3168012	hsa-miR-142-3p	0.670307525661457	0.332210128819786	-0.973373503369135	-6.58679668796283	-0.187966793661536	13.4298551668795
ILMN_3167757	hsa-miR-518f:9.1	0.898674602395366	0.72779465500977	-0.348826618519198	-6.58740553173553	-0.0604847226640537	7.45253059462076
ILMN_3167787	hsa-miR-19a	0.990535279364463	0.964342904892253	-0.0447923132695106	-6.58750101575017	-0.0163317913126768	12.4570259171448
ILMN_3167914	hsa-miR-422a	0.917976146249846	0.774152614247306	-0.287556926849667	-6.59048858544131	-0.0697818065556248	7.5354656071366
ILMN_3167544		0.677010392555537	0.339019465782941	-0.959705026448823	-6.59083992632951	-0.0366020703282119	6.1055451186067
ILMN_3167612		0.923618878481863	0.793201986842297	-0.262704797458815	-6.59179371837054	-0.0119928710636881	7.60766455564369
ILMN_3168476	hsa-miR-25	0.627434396980536	0.271248931445734	-1.10497865698742	-6.5927643308738	-0.0545798112887077	13.7492457809917
ILMN_3168538	hsa-miR-548i	0.94298726113629	0.844982471550946	-0.195922704947147	-6.59289007074392	-0.00973155151641425	7.70013625272938
ILMN_3168715	hsa-miR-155*	0.917976146249846	0.773147650684957	-0.288872863523729	-6.59444207621466	-0.0165088660655641	7.54021745483447
ILMN_3168576	hsa-miR-199a-3p,hsa-miR-199b-3p	0.52514534813545	0.183915532403769	1.3360386971551	-6.59583678502467	0.0299486841152525	14.2460366485231
ILMN_3168709	hsa-let-7f-2*	0.936900895475531	0.832909090062255	-0.211404469544647	-6.59665800789348	-0.0133258861435452	7.65087417501598
ILMN_3168664	hsa-miR-431*	0.849343236568757	0.603586806014243	-0.520544180902183	-6.59728165383916	-0.0241090507967714	6.98828960251163
ILMN_3168640	hsa-miR-497*	0.758972552310714	0.440800652652074	0.773257653805506	-6.59894171994853	0.146099969404833	6.5989413780727
ILMN_3167353	hsa-miR-107	0.956672700318609	0.881475719507539	0.149397803643237	-6.60118361472601	0.0146280793629767	12.6078216995297
ILMN_3166952		0.722729886605284	0.401084392995273	0.842501476289678	-6.60213840154731	0.0328661469140936	6.37234821756614
